1.2.1:epix
1.4.2:vivoactive
1.4.4:d2bravo,d2bravo_titanium,fenix3,fenix3_hr,fr230,fr630,fr920xt
1.4.5:fr235,fr45,garminswim2
2.4.2:edge_1000,vivoactive_hr
2.4.4:edge_520
2.4.5:fr735xt
2.4.9:approachs60
3.0.0:d2charlie,vivoactive3d
3.0.12:approachs62
3.0.3:vivolife
3.0.8:gpsmap86,oregon7xx,rino7xx
3.1.3:edge520plus,edge820,edgeexplore
3.1.6:fenix5,fenix5s,fenix5x,fenixchronos,fr935,vivoactive3mlte
3.1.8:d2delta,d2deltapx,d2deltas,edge130,fr645
3.1.9:descentmk1,gpsmap66,vivoactive3
3.2.0:vivoactive3m
3.2.1:d2air
3.2.3:fr645m
3.2.5:edge130plus,montana7xx
3.2.8:gpsmap67
3.3.1:edge1030,edge1030bontrager,edge1030plus,edge830
3.3.3:fenix5plus,fenix5splus,fenix5xplus
3.3.6:edge530,fr245,fr245m,fr745,fr945,legacyherocaptainmarvel,legacyherofirstavenger,legacysagadarthvader,legacysagarey,venu,venud,venusq,venusqm,vivoactive4,vivoactive4s
3.4.0:descentg1
3.4.2:enduro,fr55,instinct2,instinct2s,instinctcrossover
3.4.3:fr945lte,instinct2x
3.4.4:descentmk2,descentmk2s
3.4.5:fenix6,fenix6pro,fenix6s,fenix6spro,fenix6xpro,marqadventurer,marqathlete,marqaviator,marqcaptain,marqcommander,marqdriver,marqexpedition,marqgolfer
5.0.0:approachs50,approachs7042mm,approachs7047mm,d2airx10,descentmk343mm,descentmk351mm,venu2,venu2plus,venu2s,venusq2,venusq2m
5.0.1:descentg2,instinct3amoled45mm,instinct3amoled50mm,instinct3solar45mm,instincte40mm,instincte45mm
5.1.0:d2mach1,edge1040,edge1050,edge540,edge840,edgeexplore2,enduro3,epix2,epix2pro42mm,epix2pro47mm,epix2pro51mm,fenix7,fenix7pro,fenix7pronowifi,fenix7s,fenix7spro,fenix7x,fenix7xpro,fenix7xpronowifi,fenix843mm,fenix847mm,fenix8solar47mm,fenix8solar51mm,fenixe,fr165,fr165m,fr255,fr255m,fr255s,fr255sm,fr265,fr265s,fr955,fr965,marq2,marq2aviator,system8preview,venu3,venu3s,vivoactive5
5.1.1:vivoactive6
