approachs60:98304
approachs62:135168
d2air:524288
d2airx10:131072
d2bravo:65536
d2bravo_titanium:65536
d2charlie:98304
d2delta:98304
d2deltapx:98304
d2deltas:98304
d2mach1:131072
descentg1:65536
descentmk1:98304
descentmk2:131072
descentmk2s:98304
edge1030:
edge1030bontrager:
edge1030plus:
edge1040:
edge130:
edge130plus:
edge520plus:
edge530:
edge820:
edge830:
edge_1000:
edge_520:
edgeexplore:
enduro:114688
epix:1048576
epix2:131072
fenix3:65536
fenix3_hr:65536
fenix5:98304
fenix5plus:98304
fenix5s:98304
fenix5splus:98304
fenix5x:98304
fenix5xplus:98304
fenix6:114688
fenix6pro:114688
fenix6prosystem5preview:114688
fenix6s:98304
fenix6spro:98304
fenix6xpro:131072
fenix7:131072
fenix7s:131072
fenix7x:131072
fenixchronos:98304
fr230:65536
fr235:65536
fr245:98304
fr245m:98304
fr255:131072
fr255m:131072
fr255s:131072
fr255sm:131072
fr45:49152
fr55:98304
fr630:65536
fr645:98304
fr645m:98304
fr735xt:65536
fr745:98304
fr920xt:65536
fr935:98304
fr945:98304
fr945lte:98304
fr955:131072
garminswim2:49152
gpsmap66:
gpsmap86:
instinct2:65536
instinct2s:65536
legacyherocaptainmarvel:524288
legacyherofirstavenger:524288
legacysagadarthvader:524288
legacysagarey:524288
marqadventurer:98304
marqathlete:98304
marqaviator:98304
marqcaptain:98304
marqcommander:98304
marqdriver:98304
marqexpedition:98304
marqgolfer:98304
montana7xx:
oregon7xx:
rino7xx:
venu:524288
venu2:131072
venu2plus:131072
venu2s:131072
venu2system5preview:131072
venud:524288
venusq:98304
venusqm:524288
vivoactive:65536
vivoactive3:98304
vivoactive3d:98304
vivoactive3m:98304
vivoactive3mlte:98304
vivoactive4:524288
vivoactive4s:524288
vivoactive_hr:65536
vivolife:98304
