approachs50:65536
approachs60:
approachs62:
approachs7042mm:65536
approachs7047mm:65536
d2air:
d2airx10:65536
d2bravo:
d2bravo_titanium:
d2charlie:
d2delta:
d2deltapx:
d2deltas:
d2mach1:65536
d2mach2:65536
descentg1:32768
descentg2:65536
descentmk1:
descentmk2:32768
descentmk2s:32768
descentmk343mm:65536
descentmk351mm:65536
edge1030:
edge1030bontrager:
edge1030plus:
edge1040:65536
edge1050:65536
edge130:
edge130plus:
edge520plus:
edge530:
edge540:65536
edge550:65536
edge820:
edge830:
edge840:65536
edge850:65536
edge_1000:
edge_520:
edgeexplore:
edgeexplore2:65536
edgemtb:65536
enduro:32768
enduro3:65536
epix:
epix2:65536
epix2pro42mm:65536
epix2pro47mm:65536
epix2pro51mm:65536
etrextouch:
fenix3:
fenix3_hr:
fenix5:
fenix5plus:
fenix5s:
fenix5splus:
fenix5x:
fenix5xplus:
fenix6:32768
fenix6pro:32768
fenix6s:32768
fenix6spro:32768
fenix6xpro:32768
fenix7:65536
fenix7pro:65536
fenix7pronowifi:65536
fenix7s:65536
fenix7spro:65536
fenix7x:65536
fenix7xpro:65536
fenix7xpronowifi:65536
fenix843mm:65536
fenix847mm:65536
fenix8pro47mm:65536
fenix8solar47mm:65536
fenix8solar51mm:65536
fenixchronos:
fenixe:65536
fr165:65536
fr165m:65536
fr230:
fr235:
fr245:32768
fr245m:32768
fr255:65536
fr255m:65536
fr255s:65536
fr255sm:65536
fr265:65536
fr265s:65536
fr45:
fr55:32768
fr57042mm:65536
fr57047mm:65536
fr630:
fr645:
fr645m:
fr735xt:
fr745:32768
fr920xt:
fr935:
fr945:32768
fr945lte:32768
fr955:65536
fr965:65536
fr970:65536
garminswim2:
gpsmap66:
gpsmap67:
gpsmap86:
gpsmaph1:
instinct2:32768
instinct2s:32768
instinct2x:32768
instinct3amoled45mm:65536
instinct3amoled50mm:65536
instinct3solar45mm:32768
instinctcrossover:32768
instinctcrossoveramoled:65536
instincte40mm:32768
instincte45mm:32768
legacyherocaptainmarvel:
legacyherofirstavenger:
legacysagadarthvader:
legacysagarey:
marq2:65536
marq2aviator:65536
marqadventurer:32768
marqathlete:32768
marqaviator:32768
marqcaptain:32768
marqcommander:32768
marqdriver:32768
marqexpedition:32768
marqgolfer:32768
montana7xx:
oregon7xx:
rino7xx:
system8preview:65536
venu:
venu2:65536
venu2plus:65536
venu2s:65536
venu3:65536
venu3s:65536
venu441mm:65536
venu445mm:65536
venud:
venusq:
venusq2:65536
venusq2m:65536
venusqm:
venux1:65536
vivoactive:
vivoactive3:
vivoactive3d:
vivoactive3m:
vivoactive3mlte:
vivoactive4:
vivoactive4s:
vivoactive5:65536
vivoactive6:65536
vivoactive_hr:
vivolife:
