approachs50:
approachs60:65536
approachs62:65536
approachs7042mm:
approachs7047mm:
d2air:524288
d2airx10:
d2bravo:65536
d2bravo_titanium:65536
d2charlie:1048576
d2delta:1048576
d2deltapx:1048576
d2deltas:1048576
d2mach1:
d2mach2:
descentg1:65536
descentg2:
descentmk1:1048576
descentmk2:1048576
descentmk2s:1048576
descentmk343mm:
descentmk351mm:
edge1030:1048576
edge1030bontrager:1048576
edge1030plus:1048576
edge1040:
edge1050:
edge130:
edge130plus:
edge520plus:1048576
edge530:1048576
edge540:
edge550:
edge820:1048576
edge830:1048576
edge840:
edge850:
edge_1000:1048576
edge_520:262144
edgeexplore:1048576
edgeexplore2:
edgemtb:
enduro:65536
enduro3:
epix:1048576
epix2:
epix2pro42mm:
epix2pro47mm:
epix2pro51mm:
etrextouch:1048576
fenix3:65536
fenix3_hr:65536
fenix5:65536
fenix5plus:1048576
fenix5s:65536
fenix5splus:1048576
fenix5x:1048576
fenix5xplus:1048576
fenix6:65536
fenix6pro:1048576
fenix6s:65536
fenix6spro:1048576
fenix6xpro:1048576
fenix7:
fenix7pro:
fenix7pronowifi:
fenix7s:
fenix7spro:
fenix7x:
fenix7xpro:
fenix7xpronowifi:
fenix843mm:
fenix847mm:
fenix8pro47mm:
fenix8solar47mm:
fenix8solar51mm:
fenixchronos:65536
fenixe:
fr165:
fr165m:
fr230:65536
fr235:65536
fr245:65536
fr245m:1048576
fr255:
fr255m:
fr255s:
fr255sm:
fr265:
fr265s:
fr45:
fr55:65536
fr57042mm:
fr57047mm:
fr630:65536
fr645:65536
fr645m:524288
fr735xt:65536
fr745:1048576
fr920xt:65536
fr935:65536
fr945:1048576
fr945lte:1048576
fr955:
fr965:
fr970:
garminswim2:
gpsmap66:1048576
gpsmap67:1048576
gpsmap86:1048576
gpsmaph1:1048576
instinct2:65536
instinct2s:65536
instinct2x:65536
instinct3amoled45mm:
instinct3amoled50mm:
instinct3solar45mm:
instinctcrossover:65536
instinctcrossoveramoled:
instincte40mm:
instincte45mm:
legacyherocaptainmarvel:524288
legacyherofirstavenger:524288
legacysagadarthvader:524288
legacysagarey:524288
marq2:
marq2aviator:
marqadventurer:1048576
marqathlete:1048576
marqaviator:1048576
marqcaptain:1048576
marqcommander:1048576
marqdriver:1048576
marqexpedition:1048576
marqgolfer:1048576
montana7xx:1048576
oregon7xx:1048576
rino7xx:1048576
system8preview:
venu:524288
venu2:
venu2plus:
venu2s:
venu3:
venu3s:
venu441mm:
venu445mm:
venud:524288
venusq:65536
venusq2:
venusq2m:
venusqm:524288
venux1:
vivoactive:65536
vivoactive3:65536
vivoactive3d:65536
vivoactive3m:524288
vivoactive3mlte:524288
vivoactive4:524288
vivoactive4s:524288
vivoactive5:
vivoactive6:
vivoactive_hr:65536
vivolife:
