1.2.1:epix
1.3.1:d2bravo,fenix3,fenix3_hr,fr230,fr235,fr630,fr920xt
1.4.2:vivoactive
1.4.4:d2bravo_titanium
1.4.5:fr45,garminswim2
2.2.3:oregon7xx
2.4.1:approachs60,d2charlie,edge820,edge_520,edge_1000,fr735xt,rino7xx,vivoactive_hr
3.0.0:vivoactive3d
3.0.1:descentmk1,edge130
3.0.3:d2deltapx,vivoactive3,vivolife
3.0.8:gpsmap66,gpsmap86
3.0.12:approachs62
3.1.3:edge520plus,edgeexplore
3.1.6:fenix5,fenix5plus,fenix5s,fenix5splus,fenix5x,fenix5xplus,fenixchronos,fr645,fr645m,fr935,montana7xx,vivoactive3mlte
3.1.7:descentmk2
3.1.8:d2delta,d2deltas
3.2.0:descentmk2s,edge130plus,fr55,gpsmap67,vivoactive3m
3.2.1:d2air
3.2.4:enduro
3.2.5:edge530,edge830,edge1030,edge1030plus,fr245,fr245m,fr745,fr945,venusq,venusqm
3.2.6:fenix6,fenix6pro,fenix6s,fenix6spro,fenix6xpro,legacyherocaptainmarvel,legacyherofirstavenger,legacysagadarthvader,legacysagarey,marqadventurer,marqathlete,marqaviator,marqcaptain,marqcommander,marqdriver,marqexpedition,marqgolfer,venu,venud,vivoactive4,vivoactive4s
3.2.7:descentg1,instinct2,instinct2s
3.3.1:edge1030bontrager,fr945lte
3.3.6:instinctcrossover
3.4.0:instinct2x
4.0.0:epix2,venu2,venu2plus,venu2s
4.0.1:d2airx10
4.0.4:fenix7,fenix7s,fenix7x
4.0.6:d2mach1
4.1.2:edgeexplore2,fr255,fr255m,fr255s,fr255sm,fr955,marq2,marq2aviator
4.1.3:edge1040
4.1.5:venusq2,venusq2m
4.2.0:edge540,edge840,fr265,fr265s,fr965
4.2.1:approachs7042mm,approachs7047mm
4.2.2:epix2pro42mm,epix2pro47mm,epix2pro51mm,fenix7pro,fenix7pronowifi,fenix7spro,fenix7xpro,fenix7xpronowifi,fr165,fr165m
4.2.3:descentmk343mm,descentmk351mm,venu3,venu3s,vivoactive5
5.0.0:approachs50,edge1050,fenix847mm,instinct3solar45mm
5.0.1:descentg2,enduro3,fenix8solar47mm,fenix8solar51mm,fenix843mm,fenixe,instinct3amoled45mm,instinct3amoled50mm,instincte40mm,instincte45mm
5.1.0:fr970,fr57042mm,fr57047mm,system8preview
5.1.1:vivoactive6
