approachs60:2.4.1
approachs62:3.0.12
approachs7042mm:4.2.1
approachs7047mm:4.2.1
d2air:3.2.1
d2airx10:4.0.1
d2bravo:1.4.4
d2bravo_titanium:1.4.4
d2charlie:3.0.0
d2delta:3.1.8
d2deltapx:3.1.8
d2deltas:3.1.8
d2mach1:4.2.0
descentg1:3.4.0
descentmk1:3.0.1
descentmk2:3.3.1
descentmk2s:3.3.1
edge1030:3.3.1
edge1030bontrager:3.3.1
edge1030plus:3.3.1
edge1040:4.1.3
edge130:3.1.1
edge130plus:3.2.0
edge520plus:3.1.3
edge530:3.3.1
edge540:4.2.0
edge820:3.1.3
edge830:3.3.1
edge840:4.2.0
edge_1000:2.4.2
edge_520:2.4.4
edgeexplore:3.1.3
edgeexplore2:4.2.0
enduro:3.4.0
epix:1.2.1
epix2:4.2.0
fenix3:1.4.4
fenix3_hr:1.4.4
fenix5:3.1.6
fenix5plus:3.3.3
fenix5s:3.1.6
fenix5splus:3.3.3
fenix5x:3.1.6
fenix5xplus:3.3.3
fenix6:3.4.0
fenix6pro:3.4.0
fenix6s:3.4.0
fenix6spro:3.4.0
fenix6xpro:3.4.0
fenix7:4.2.0
fenix7s:4.2.0
fenix7system6preview:4.2.0
fenix7x:4.2.0
fenixchronos:3.1.6
fr230:1.4.4
fr235:1.4.4
fr245:3.3.1
fr245m:3.3.1
fr255:4.2.0
fr255m:4.2.0
fr255s:4.2.0
fr255sm:4.2.0
fr265:4.2.0
fr265s:4.2.0
fr45:1.4.5
fr55:3.4.0
fr630:1.4.4
fr645:3.1.6
fr645m:3.2.3
fr735xt:2.4.5
fr745:3.3.1
fr920xt:1.4.4
fr935:3.1.6
fr945:3.3.1
fr945lte:3.3.1
fr955:4.2.0
fr965:4.2.0
garminswim2:1.4.5
gpsmap66:3.0.8
gpsmap67:3.2.0
gpsmap86:3.0.8
instinct2:3.4.0
instinct2s:3.4.0
instinct2x:3.4.0
instinctcrossover:3.4.0
legacyherocaptainmarvel:3.3.1
legacyherofirstavenger:3.3.1
legacysagadarthvader:3.3.1
legacysagarey:3.3.1
marq2:4.2.0
marq2aviator:4.2.0
marqadventurer:3.4.0
marqathlete:3.4.0
marqaviator:3.4.0
marqcaptain:3.4.0
marqcommander:3.4.0
marqdriver:3.4.0
marqexpedition:3.4.0
marqgolfer:3.4.0
montana7xx:3.2.5
oregon7xx:3.0.8
rino7xx:3.0.8
venu:3.3.1
venu2:4.2.0
venu2plus:4.2.0
venu2s:4.2.0
venu2system6preview:4.2.0
venud:3.2.6
venusq:3.3.1
venusq2:4.2.0
venusq2m:4.2.0
venusqm:3.3.1
vivoactive:1.4.2
vivoactive3:3.1.6
vivoactive3d:3.0.0
vivoactive3m:3.2.0
vivoactive3mlte:3.1.6
vivoactive4:3.3.1
vivoactive4s:3.3.1
vivoactive_hr:2.4.2
vivolife:3.0.3
